last_new_job,target,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,training_hours
1,1,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,36
never,1,0.789,,No relevent experience,,Graduate,Business Degree,<1,,Pvt Ltd,52
1,1,0.764,,Has relevent experience,Part time course,Graduate,STEM,11,,,24
>4,1,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,<10,Pvt Ltd,18
1,1,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,46
never,1,0.624,,No relevent experience,Full time course,High School,,2,,,32
never,1,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,23
1,1,0.827,Female,Has relevent experience,no_enrollment,Graduate,Arts,4,,,132
1,1,0.624,,Has relevent experience,Part time course,Graduate,STEM,14,500-999,Pvt Ltd,148
1,1,0.887,Male,Has relevent experience,no_enrollment,High School,,11,<10,Pvt Ltd,8
2,1,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,50-99,Funded Startup,68
4,1,0.926,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,42
1,1,0.624,,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Early Stage Startup,112
3,1,0.624,Male,Has relevent experience,Part time course,Masters,STEM,9,5000-9999,Pvt Ltd,7
never,1,0.624,Female,No relevent experience,Full time course,Masters,STEM,5,,,26
never,1,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,87
4,1,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,19,10000+,Public Sector,52
>4,1,0.558,Male,Has relevent experience,no_enrollment,Graduate,No Major,15,,,20
1,1,0.558,Male,No relevent experience,no_enrollment,Graduate,STEM,4,,,92
,1,0.624,,Has relevent experience,Full time course,Graduate,STEM,2,Oct-49,Funded Startup,32
>4,1,0.767,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,100-500,Pvt Ltd,26
